document,label
ㅋㅋㅋ벌써출소하다니 대단하네,0
지랄한다..또  재범하긋네...하긴 진짜 저런거보면..참....조만간 뭔가 ..터지긋군.!술.여자좋아하지.!,1
윤가랑 사법부는 죄팔이 열심히하네 ㅋㅋ 법으로 돈버는 기술자놈들,1
지디 당신은 대체 ㅋ미래를 봤지.ㅋ,0
이새끼는 사람 되기를 포기했네....,1
돈이 아주많치?,0
이ㅂㅅ은 그냥 꼼처논돈으로 잘 살아도 뭐라안하는데 눈에 안뛰였으면 버러지같은새키,1
아니 근데 감옥 갔다온거랑 소주 돌리는거랑 무슨 상관임?,0
사람이 죄를짓엇 으나 벖의잣대로 댓가를 치루었다면 작은용서와 관용을 베푸시길 그러나 본질을흐린 인성이라면 사회에서 얼굴을 들지못하게 스스로 좋은 인성을키우시길,0
인도네시아 친구이름도 마약이네~ ㅎㄷㄷ,0
나쁜놈들 전성시대,1
저저저,0
너무 일찍 나왔네..,0
살아돌아왔구나? 승태식이,0
개버릇 어디가것나!!!!,1
그냥한번더 큰집가서쉬어야겠다!!!,0
대한민국 사법 정의의 현 주소를 그대로 보여주네유전무죄 무전유죄국민 위에 법 있고 법 위에 돈 있다,0
아직도 변하지않앗다 유전무죄 무전유죄,0
우리나라는 범죄는 합법이다 이제 ㅋ,0
이새긴 갱생불가구나,1
에휴......,0
저런놈을 왜풀어주냐하여간 판사라는 놈들이문제야,1
쓰래기는 쓰래기통으로 제발 가라,0
나라가 참 자랑스럽내.. 에휴..,0
진짜 나쁜짓만아니면 진짜 승리하는인생살수있었을텐데..참 안타까운인생이다. 젊을때나좋겠지.,0
인생은 승리처럼~ 크~~~ 부럽당 ㅠㅠ,0
하여간 라도놈들은 나쁜짓하고도 뻔뻔하지..,1
"이사람은 3년 판결이 나온 그 시점에 이미 승리한거고, 법치국가에서 법지키며 사는 소시민들은 패배한 것이다.공평함과 공정함은 대한민국에서 이제 더이상 중요한 가치가 아니다. 각자도생의 시대. 잘 살아남자.",0
"개한민국은 망해야 하나? 중국,일본의 속국이 되어야 하나?개판사 세이들아! 니들이 범죄자고 한국을 혐한으로 만들었다!",1
보통 저런 류의 인간은 절대 안변함.,0
아니 깜방서 죄값다치렀구만 노는거가지고 머라하네 그지들아 부러우면 부럽다그래,1
저걸 또 찍어 올린 지인도 참 ㅋㅋㅋㅋㅋㅋ,0
재판에서 이미 승리가 승리했는데 뭐가 무섭것어,0
승리 이름 패배로 바꿔야함,0
지버릇 개못준다!저런 쓰레기가 연예인이라니...........,1
약하면 승리는 없는거야,0
역시 안변 하는구낭 ㅋㅋㅋㅋ,0
벌써나왔어?,0
반성문 몇장 쓰고 나와서 벌어놓은 돈으로 또 나오겠지여전히 잘먹고 잘살겠구나일반인이 저런짓을 했으면 최소 7가지 강력범죄로 기소되어 인생 종쳤을텐데짭새들이 뒤백이 좋았나봐 전관도 한몫했을 것이고 이젠 해외나가서 또하겠지정신나간 애들 꼬셔서 이번엔 어디일까 마카오?,1
벌써 출소?,0
"뭐 술먹고 노는게 범죄저지르는거는 아니니깐, 맘에 안들지만 할말을 없네",0
소시오패스가 따로 없네  목적을 위한 범죄 따위 저런 녀석에게는 껌씹는거보다 쉽겠지죄책감이나 도덕심같은 인간적인 범위에는 저런쓰레기한테 안맞는거지sns에 소식 좀 올리지나 마라  역겨우니까,1
저정신 넋빠진 승리새끼!!출소해서 승리파티하냐?!,1
벌써 출소 한귀 좋은 나라야,0
범죄자들이 살기좋은 나라 대한민국대단하다 진짜,0
ㅋㅋㅋ멋진 인생이네그러든말든...당당하네,0
빵살이 할만했나보군~ 즐거워보이고 좋네!!!!,0
조만간 김도기가 찾아간다...,0
승츠비ㅋㅋㅋ,0
냅둬라  법이 ㅈ같은거지,1
ㅋㅋㅋ 뭘 더 바래,0
ㅋㅋ 참  답답하다,0
대한민국은 권력과 돈의 나라다. 이 2가지만 있으면 뭐든지 다 되는 세상임...,0
영치금으로 편하게 있었나보네,0
휴가 갔나왔네.....,0
정신좀차려라,0
이게 나라냐 ㅋㅋ,0
인간인가 ?,0
똑똑한 인간들은 다알고 있다~,0
불법적으로 취득한 돈들은 다 국고로 환수해야지.,0
착하게살지마ㅋㅋ손해야,0
벌써 나옴?,0
진짜 소름돋는 그런 인물이다,0
정신 못차렸네,0
그래 ㅅㅂ 돈도 많이 벌어놨겠다이제 즐기기만 하면 되겠네,1
다른 사람 인생을 망쳐놓고 어떻게 아무 죄책감도 없이 웃으면서 지내지,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ돈없으면 진따새끼 ㅋㅋ,1
아직 멀었다~,0
너무 싫어요 ㅠㅜ,0
죄갑  치러으면 됬지 더는 욕하지마라  떨면 징역갈놈들 수백만,1
ㅋㅋㅋ  쟤도 재롱부리느라 얼마나 힘들것어 ㅋㅋㅋ,0
ㅋㅋ 스티븐유가 부들거리는 이유를 알겠네.. 이런 새끼들은 그냥 넘어가니까,1
아직 정신 못차렸구나,0
역쉬 개버릇 남 못준다,1
사형했어야지....저러니 법을 우습게알지....하긴 법도 우습긴하다....범죄자가 살기 좋은 나라 대한민국....,0
범죄자가 잘사는나라지,0
지디가 승리 맨날 군기 잡은 이유를 이제야 알것같다,0
문빈은 너무 착하고 여려 혼자 맘고생 하다가 떠나고 패배는 정신승리 하면서 출소기념 소주병 퍼포먼스 이게 맞나,0
부럽다 ㅋ 인생 ㅋ,0
개부럽다,1
살 사람은 살아야지,0
이제 뒤탈없게 외국쪽으로 돌리는구나  절레절레,0
저 끼를 숨기고 가수한다고 참 고생이 많았겠다. 이제 그냥 편하게 살겠단거네,0
ㄸㄹㅇ ㅆㄲ네,1
근데 ㅈ같지만 벌 다 받고나왔잖아ㅋㅋㅋㅋ 뭘 또 훈수질이고 오지랖이다 이거는,1
승리는 이제 더 대담해지겠네 ㅋㅋㅋ,0
지용이의 팔꿈치가 조금만 더 날카로웠어도,0
승리야 벌다받고나왔다고 당당할게아니고 당분간은좀조용히좀있지  너도참 머리안굴러간다..,0
모범택시 출~~동,0
능력좋네,0
ㅋㅋㅋ 진짜 범죄자는 잘 사네.,0
승리가 승리한기분이네 ㄷㄷ,0
승리는 정신 못차리지.,0
싸이코페스 끼가 다분하다 저것도~,0
안창피하냐,0
자기맘이지... 도가 넘치네...,0
쓰레기 같은 놈... 저런 놈을 판결했던 판사 새끼는 &quot;피고가 자신의 과오를 뉘우치고 있고... 피해자들과 원만하게 합의 한 바에 따라서...&quot; 이렇게 지꺼리면서 감형을 시켜 주었겠지,1
"벌써 나옴?? ㅡ,.ㅡ;;; 와 ㅅㅂ 돈이 좋네... 유전무죄",1
ㅋㅋ 키야 역시 광주는 민주화여 승리야 징역도 민주화운동 하다 갔다온거제?,0
감방 무용담 이빨까고 다니겠네,0
얘 나왔어?,0
회오리하나 만들었다고 억까 ㅈㄴ 당하넼ㅋㅋㅋㅋㅋㅋ,1
왜 지디한테 팔꿈치로 맞았는지 알겠누,0
자숙? 어이구,0
니 인생이 웃긴가보네,0
그럼 집에서 울고 있어야 하나..사람들 참 이상하기도 하지..자기한테는 관대하고 남한테는 막대하고 ㅎㅎ,0
배아픈사람들이 많구나,0
모범택시 시급하노 ㅋㅋ,0
법이 너무 관대함..,0
정신 못차리네 ㅋ,0
한국의 전통 스타일= 돈 다발 숨겨 놓고 가볍게 1년 살다 나와서 돈잔치,1
조만간에 한번 더 들어가겠다...ㅋㅋㅋ,0
진리를 깨달은 선구자,0
빵에서 소주만 먹었나 ㅋㅋ,0
잠깐 갔다온다고 변할꺼면 첨부터 안했겠지,0
옛날 코카콜라였나?무슨 서바이벌 오디션 프로그램에서 순수한표정에 열정가득한 모습이였던 아이가 어쩌다가 저렇게 됐을까..,0
단톡방 멤버들 우정이 지금도 건재한지가 가장 궁금함. 아직 정준영 복역중인데 절친이니 면회도 가고 영치금도 넣어주고 하는지ㅋㅋ,0
전과자 역시 ..... 깜빵 나올 때 두부는 많이 먹었니???,0
뭐 어차피 쟤 가수 계속할것도 아니고 사업만 할꺼같은데 개돼지들이 암만 뭐래봤자 눈도 깜짝 안할듯,1
여기있는 버러지들이 짖어봤자 승리는 신경도 안쓸듯ㅋㅋㅋ,0
미국 법이면 가석방없는 종신형...중국바이러스 법이면 사형 우리나라 법????아주 대단하네,0
승리: 난 또 할거야. 한국 사랑해,0
범죄자 새끼 주제에 ㅁㅊㄴ 존X 신났네?! ㅅㅂ ㅁㅊㄴ!!,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ통장에돈이 수십억 있을테니 저래 살아도 행복할듯,0
승리라는 단어를 없애야함,0
애들이 이걸보고 어짜피 나쁜짓 해도 돈이면 다 된다 란 사상이 주입될까봐 두렵다. 뭐 이미 그렇게 생각하고 있는 사람도 한가득이고.. 아무리 그래도 사람이면 도덕적 소신을 가지고 살자.,0
죄값치르고 나왔으니  저래도 모라고할수없지 ㅋㅋㅋ  아마 관련된애들한텐 영웅이지    개내들이 보상 많이해줄걸??  평생 잘지낼거다,0
패배가 아니라 승리햇노.. ㄹㅇ,0
솔직히 소주 마시는거 전혀 문제 없는 모습인데 이미지가 무서운거네 낙인찍히 저런게 저격이 되네 ㅋㅋㅋㅋ 술집가면 저런애들 수두룩한데 ㅋㅋㅋ,0
자이언트 인줄 알았네,0
자랑이다,0
지금 이뉴스 나온거자체로도 자기 아직 안죽었다면서 허세부릴거같다,0
역시 인간은 바뀌질않는구나,0
아이구 승리야 노후가 예견됀다 정신차리자,0
머지않아 또 사고쳐서 빵에 왔다갔다하는 삶이 될지도 모르지.,0
아무리 돈이 많아서 호의호식 하면서 살겠지만 대중들에게 외면당한 연예인은 결국 숨어서 지내야 할 걸요결국 불쌍한 인생 된거죠,0
인간되긴. 걸러먹었네 ㅋㅋㅋ,1
이런새끼 처음봄 ㅋㅋㅋ 가능하냐 30넘게 처먹고 저게 ?ㅋㅋ그것도 학교갔다오고 공인이? 일부러 저러는거다ㅋㅋ 이정도면 ㅋㅋ엿맥이는거임 국민들 대놓고,1
반성안하냐?,0
저놈 정신 못차렸음ㅁㅊㄴ,1
중국사람 다됐네,0
나라 생긴지 몇 년 됐다고 저런 전통도 있었냐 ㅋㅋ ㅂㄹㅈ ㅋㅋㅋ,1
사과해도 안받아줄거면서 뭔 자숙이고 ㅋㅋㅋ,0
승리.건방진...,0
지맘이지뭐 ㅋㅋㅋㅋ,0
ㅂㅅ ㅋ,1
니넨얼마나잘살아왔냐ㅋㅋ 열등감오지네,1
뭐하나 또 걸려서 구속될듯,0
이새키보소,1
쓰레기는 변하지 않아~,1
멍ㄸㄹㅇ~옥살이하면 범죄자의 모든것이 없어지나?대대손손 기록에 남지않을까? 꼬리표처럼!!,1
잘가라~멀리 안나간다 ㅡㅡ,0
요목조목 다 따져봐도 특출나게 잘난것도 없는 난쟁이놈이 전생에 나라라도 구했는지 ㅋㅋ 천운을 탔구나...  계속 깝치는 모습보니 안경벗기고 스크류 드라이버로 눈쑤셔버리고 싶다.,1
